The Shawshank Redemption,course several years two convicts form friendship seeking consolation eventually redemption basic compassion
The Godfather,aging patriarch organized crime dynasty transfers control clandestine empire reluctant son
The Dark Knight,menace known joker wreaks havoc chaos people gotham batman must accept one greatest psychological physical tests ability fight injustice
The Godfather Part II,early life career vito corleone 1920s new york city portrayed son michael expands tightens grip family crime syndicate
12 Angry Men,jury new york city murder trial frustrated single member whose skeptical caution forces carefully consider evidence jumping hasty verdict
Schindler's List,germanoccupied poland world war ii industrialist oskar schindler gradually becomes concerned jewish workforce witnessing persecution nazis
The Lord of the Rings: The Return of the King,gandalf aragorn lead world men saurons army draw gaze frodo sam approach mount doom one ring
Pulp Fiction,lives two mob hitmen boxer gangster wife pair diner bandits intertwine four tales violence redemption
The Lord of the Rings: The Fellowship of the Ring,meek hobbit shire eight companions set journey destroy powerful one ring save middleearth dark lord sauron
"The Good, the Bad and the Ugly",bounty hunting scam joins two men uneasy alliance third race find fortune gold buried remote cemetery
Forrest Gump,history united states 1950s 70s unfolds perspective alabama man iq 75 yearns reunited childhood sweetheart
The Lord of the Rings: The Two Towers,frodo sam edge closer mordor help shifty gollum divided fellowship makes stand saurons new ally saruman hordes isengard
Fight Club,insomniac office worker devilmaycare soap maker form underground fight club evolves much
Inception,thief steals corporate secrets use dreamsharing technology given inverse task planting idea mind ceo tragic past may doom project team disaster
Star Wars: Episode V - The Empire Strikes Back,rebel alliance overpowered empire luke skywalker begins jedi training yoda friends pursued across galaxy darth vader bounty hunter boba fett
The Matrix,beautiful stranger leads computer hacker neo forbidding underworld discovers shocking truththe life knows elaborate deception evil cyberintelligence
GoodFellas,story henry hill life mafia covering relationship wife karen mob partners jimmy conway tommy devito
One Flew Over the Cuckoo's Nest,fall 1963 korean war veteran criminal pleads insanity admitted mental institution rallies scared patients tyrannical nurse
Seven,two detectives rookie veteran hunt serial killer uses seven deadly sins motives
Interstellar,earth becomes uninhabitable future farmer exnasa pilot joseph cooper tasked pilot spacecraft along team researchers find new planet humans
It's a Wonderful Life,angel sent heaven help desperately frustrated businessman showing life would like never existed
Seven Samurai,farmers village exploited bandits hire veteran samurai protection gathers six samurai join
The Silence of the Lambs,young fbi cadet must receive help incarcerated manipulative cannibal killer help catch another serial killer madman skins victims
Saving Private Ryan,following normandy landings group us soldiers go behind enemy lines retrieve paratrooper whose brothers killed action
City of God,slums rio two kids paths diverge one struggles become photographer kingpin
Life Is Beautiful,openminded jewish waiter son become victims holocaust uses perfect mixture humor imagination protect son dangers around camp
The Green Mile,tale set death row gentle giant john coffey possesses mysterious power heal peoples ailments lead guard paul edgecombe recognizes johns gift tries help stave condemned mans execution
Dune: Part Two,paul atreides unites chani fremen seeking revenge conspirators destroyed family
Terminator 2: Judgment Day,cyborg identical to the one who failed to kill sarah connor must now protect her ten year old son john from an even more advanced and powerful cyborg
Star Wars: Episode IV - A New Hope,luke skywalker joins forces jedi knight cocky pilot wookiee two droids save galaxy empires worlddestroying battle station also attempting rescue princess leia mysterious darth vader
Back to the Future,marty mcfly 17yearold high school student accidentally sent 30 years past timetraveling delorean invented close friend maverick scientist doc brown
Spirited Away,familys move suburbs sullen 10yearold girl wanders world ruled gods witches spirits humans changed beasts
The Pianist,wwii acclaimed polish musician wladyslaw faces various struggles loses contact family situation worsens hides ruins warsaw order survive
Parasite,greed class discrimination threaten newlyformed symbiotic relationship wealthy park family destitute kim clan
Psycho,phoenix secretary embezzles $40000 employers client goes run checks remote motel run young man domination mother
Gladiator,former roman general sets exact vengeance corrupt emperor murdered family sent slavery
Spider-Man: Across the Spider-Verse,miles morales catapults across multiverse encounters team spiderpeople charged protecting existence heroes clash handle new threat miles must redefine means hero
The Lion King,lion prince simba father targeted bitter uncle wants ascend throne
The Departed,undercover cop mole police attempt identify infiltrating irish gang south boston
Leon,12yearold mathilda reluctantly taken léon professional assassin family murdered unusual relationship forms becomes protégée learns assassins trade
American History X,living life marked violence neonazi derek finally goes prison killing two black youths upon release derek vows change hopes prevent brother danny idolizes derek following footsteps
Whiplash,promising young drummer enrolls cutthroat music conservatory dreams greatness mentored instructor stop nothing realize students potential
The Prestige,tragic accident two stage magicians 1890s london engage battle create ultimate illusion sacrificing everything outwit
Grave of the Fireflies,young boy little sister struggle survive japan world war ii
Harakiri,ronin requesting seppuku feudal lords palace told brutal suicide another ronin previously visited reveals pasts intertwined  challenges clans integrity
The Usual Suspects,sole survivor pier shootout tells story notorious criminal influenced events began five criminals meeting seemingly random police lineup
Casablanca,cynical expatriate american cafe owner struggles decide whether help former lover fugitive husband escape nazis french morocco
Untouchable,becomes quadriplegic paragliding accident aristocrat hires young man projects caregiver
Cinema Paradiso,filmmaker recalls childhood falling love pictures cinema home village forms deep friendship cinemas projectionist
Modern Times,tramp struggles live modern industrial society help young homeless woman
Rear Window,wheelchairbound photographer spies neighbors greenwich village courtyard apartment window despite skepticism fashionmodel girlfriend becomes convinced one committed murder
Once Upon a Time in the West,mysterious stranger harmonica joins forces notorious desperado protect beautiful widow ruthless assassin working railroad
Alien,crew commercial spacecraft encounters deadly lifeform investigating mysterious transmission unknown origin
City Lights,aid wealthy erratic tippler dewyeyed tramp fallen love sightless flower girl accumulates money able help medically
Django Unchained,help german bountyhunter freed slave sets rescue wife brutal plantation owner mississippi
Apocalypse Now,us army officer serving vietnam tasked assassinating renegade special forces colonel sees god
Memento,man shortterm memory loss attempts track wifes murderer
12th Fail,reallife story ips officer manoj kumar sharma irs officer shraddha joshi
WALL·E,distant future small wastecollecting robot inadvertently embarks space journey ultimately decide fate mankind
Raiders of the Lost Ark,1936 archaeologist adventurer indiana jones hired us government find ark covenant nazis obtain awesome powers
The Lives of Others,1984 east berlin agent secret police conducting surveillance writer lover finds becoming increasingly absorbed lives
Sunset Blvd.,screenwriter develops dangerous relationship faded film star determined make triumphant return
Avengers: Infinity War,avengers allies must willing sacrifice attempt defeat powerful thanos blitz devastation ruin puts end universe
Paths of Glory,failed attack german position general orders three soldiers chosen random courtmartialed cowardice commanding officer must defend
Spider-Man: Into the Spider-Verse,teen miles morales becomes spiderman universe must join five spiderpowered individuals dimensions stop threat realities
Witness for the Prosecution,veteran british barrister must defend client murder trial surprise after surprise
The Shining,family heads isolated hotel winter sinister presence influences father violence psychic son sees horrific forebodings past future
The Great Dictator,dictator adenoid hynkel tries expand empire poor jewish barber tries avoid persecution hynkels regime
Aliens,decades surviving nostromo incident ellen ripley sent reestablish contact terraforming colony finds battling alien queen offspring
Inglourious Basterds,nazioccupied france world war ii plan assassinate nazi leaders group jewish us soldiers coincides theatre owners vengeful plans
The Dark Knight Rises,eight years jokers reign chaos batman coerced exile assistance mysterious selina kyle order defend gotham city vicious guerrilla terrorist bane
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,unhinged american general orders bombing attack soviet union triggering path nuclear holocaust war room full politicians generals frantically tries stop
Coco,aspiring musician miguel confronted familys ancestral ban music enters land dead find greatgreatgrandfather legendary singer
American Beauty,sexually frustrated suburban father midlife crisis becoming infatuated daughters best friend
Oldboy,kidnapped imprisoned fifteen years oh daesu released find must track captor five days
Amadeus,life success troubles wolfgang amadeus mozart told antonio salieri contemporaneous composer deeply jealous mozarts talent claimed murdered
Toy Story,cowboy doll profoundly threatened jealous new spaceman action figure supplants top toy boys bedroom
Avengers: Endgame,devastating events avengers: infinity war 2018 universe is in ruins with the help of remaining allies the avengers assemble once more in order to reverse thanos actions and restore balance to the universe
Das Boot,german uboat stalks frigid waters north atlantic young crew experience sheer terror claustrophobic life submariner world war ii
Braveheart,scottish warrior william wallace leads countrymen rebellion free homeland tyranny king edward england
Good Will Hunting,hunting janitor mit gift mathematics needs help psychologist find direction life
Princess Mononoke,journey find cure tatarigamis curse ashitaka finds middle war forest gods tatara mining colony quest also meets san mononoke hime
Joker,1980s failed standup comedian driven insane turns life crime chaos gotham city becoming infamous psychopathic crime figure
Your Name.,two teenagers share profound magical connection upon discovering swapping bodies things manage become even complicated boy girl decide meet person
High and Low,executive yokohama shoe company becomes victim extortion chauffeurs son kidnapped mistake held ransom
Once Upon a Time in America,former prohibitionera jewish gangster returns lower east side manhattan 35 years later must confront ghosts regrets old life
3 Idiots,two friends searching long lost companion revisit college days recall memories friend inspired think differently even rest world called idiots
Singin' in the Rain,silent film star falls chorus girl delusionally jealous screen partner trying make difficult transition talking pictures 1920s hollywood
Capernaum,serving fiveyear sentence violent crime 12yearold boy sues parents neglect
Come and See,finding old rifle young boy joins soviet resistance movement ruthless german forces experiences horrors world war ii
Requiem for a Dream,druginduced utopias four coney island people shattered addictions run deep
Toy Story 3,toys mistakenly delivered daycare center instead attic right andy leaves college woody convince toys werent abandoned return home
